name,state,did,admin_unit,debkg_id
Flensburg,(SH),01001,40-Kreisfreie Stadt,DEBKGDL20000002R
Kiel,(SH),01002,40-Kreisfreie Stadt,DEBKGDL20000E43X
Lübeck,(SH),01003,40-Kreisfreie Stadt,DEBKGDL20000DYM9
Neumünster,(SH),01004,40-Kreisfreie Stadt,DEBKGDL20000E4KX
Dithmarschen,(SH),01051,42-Kreis,DEBKGDL20000E14G
Herzogtum Lauenburg,(SH),01053,42-Kreis,DEBKGDL20000DYKR
Nordfriesland,(SH),01054,42-Kreis,DEBKGDL20000002Z
Ostholstein,(SH),01055,42-Kreis,DEBKGDL200000026
Pinneberg,(SH),01056,42-Kreis,DEBKGDL20000E44B
Plön,(SH),01057,42-Kreis,DEBKGDL20000002K
Rendsburg-Eckernförde,(SH),01058,42-Kreis,DEBKGDL20000E5OD
Schleswig-Flensburg,(SH),01059,42-Kreis,DEBKGDL20000E6CZ
Segeberg,(SH),01060,42-Kreis,DEBKGDL20000E6GP
Steinburg,(SH),01061,42-Kreis,DEBKGDL20000E3LU
Stormarn,(SH),01062,42-Kreis,DEBKGDL20000E05T
Hamburg,(HH),02000,40-Kreisfreie Stadt,DEBKGDL20000E6GN
Braunschweig,(NI),03101,40-Kreisfreie Stadt,DEBKGDL20000E3JY
Salzgitter,(NI),03102,40-Kreisfreie Stadt,DEBKGDL20000E1GA
Wolfsburg,(NI),03103,40-Kreisfreie Stadt,DEBKGDL20000E5XP
Delmenhorst,(NI),03401,40-Kreisfreie Stadt,DEBKGDL20000E023
Emden,(NI),03402,40-Kreisfreie Stadt,DEBKGDL20000003X
Oldenburg (Oldb),(NI),03403,40-Kreisfreie Stadt,DEBKGDL20000DZLX
Osnabrück,(NI),03404,40-Kreisfreie Stadt,DEBKGDL20000E70G
Wilhelmshaven,(NI),03405,40-Kreisfreie Stadt,DEBKGDL20000003Y
Gifhorn,(NI),03151,43-Landkreis,DEBKGDL20000E1XV
Goslar,(NI),03153,43-Landkreis,DEBKGDL20000E1L0
Helmstedt,(NI),03154,43-Landkreis,DEBKGDL20000E5XI
Northeim,(NI),03155,43-Landkreis,DEBKGDL20000DZVG
Peine,(NI),03157,43-Landkreis,DEBKGDL20000E06B
Wolfenbüttel,(NI),03158,43-Landkreis,DEBKGDL20000E4D9
Göttingen,(NI),03159,43-Landkreis,DEBKGDL20000E6F2
Diepholz,(NI),03251,43-Landkreis,DEBKGDL20000E3FV
Hameln-Pyrmont,(NI),03252,43-Landkreis,DEBKGDL20000E0TW
Hildesheim,(NI),03254,43-Landkreis,DEBKGDL20000E6YX
Holzminden,(NI),03255,43-Landkreis,DEBKGDL20000DZE1
Nienburg (Weser),(NI),03256,43-Landkreis,DEBKGDL20000E15O
Schaumburg,(NI),03257,43-Landkreis,DEBKGDL20000E2WJ
Celle,(NI),03351,43-Landkreis,DEBKGDL20000DXIJ
Cuxhaven,(NI),03352,43-Landkreis,DEBKGDL20000E0P8
Harburg,(NI),03353,43-Landkreis,DEBKGDL20000DZPG
Lüchow-Dannenberg,(NI),03354,43-Landkreis,DEBKGDL20000DZUD
Lüneburg,(NI),03355,43-Landkreis,DEBKGDL20000DYLA
Osterholz,(NI),03356,43-Landkreis,DEBKGDL20000E09K
Rotenburg (Wümme),(NI),03357,43-Landkreis,DEBKGDL20000E1F3
Heidekreis,(NI),03358,43-Landkreis,DEBKGDL20000E1F5
Stade,(NI),03359,43-Landkreis,DEBKGDL20000E1SP
Uelzen,(NI),03360,43-Landkreis,DEBKGDL20000DZUC
Verden,(NI),03361,43-Landkreis,DEBKGDL20000E03U
Ammerland,(NI),03451,43-Landkreis,DEBKGDL20000E1YA
Aurich,(NI),03452,43-Landkreis,DEBKGDL20000E5TF
Cloppenburg,(NI),03453,43-Landkreis,DEBKGDL20000E368
Emsland,(NI),03454,43-Landkreis,DEBKGDL20000E22F
Friesland,(NI),03455,43-Landkreis,DEBKGDL20000003L
Grafschaft Bentheim,(NI),03456,43-Landkreis,DEBKGDL20000E06Q
Leer,(NI),03457,43-Landkreis,DEBKGDL20000002T
Oldenburg,(NI),03458,43-Landkreis,DEBKGDL20000E3FX
Osnabrück,(NI),03459,43-Landkreis,DEBKGDL20000E70E
Vechta,(NI),03460,43-Landkreis,DEBKGDL20000E1VY
Wesermarsch,(NI),03461,43-Landkreis,DEBKGDL20000E29G
Wittmund,(NI),03462,43-Landkreis,DEBKGDL20000DZZH
Region Hannover,(NI),03241,45-Landkreis,DEBKGDL20000E6YZ
Bremen,(HB),04011,40-Kreisfreie Stadt,DEBKGDL20000E0SG
Bremerhaven,(HB),04012,40-Kreisfreie Stadt,DEBKGDL20000001Q
Düsseldorf,(NW),05111,40-Kreisfreie Stadt,DEBKGDL20000E3B7
Duisburg,(NW),05112,40-Kreisfreie Stadt,DEBKGDL20000DYMR
Essen,(NW),05113,40-Kreisfreie Stadt,DEBKGDL20000E4ZN
Krefeld,(NW),05114,40-Kreisfreie Stadt,DEBKGDL20000DW8W
Mönchengladbach,(NW),05116,40-Kreisfreie Stadt,DEBKGDL20000DY9F
Mülheim an der Ruhr,(NW),05117,40-Kreisfreie Stadt,DEBKGDL20000E4ZP
Oberhausen,(NW),05119,40-Kreisfreie Stadt,DEBKGDL20000E2H1
Remscheid,(NW),05120,40-Kreisfreie Stadt,DEBKGDL20000E6Z3
Solingen,(NW),05122,40-Kreisfreie Stadt,DEBKGDL20000DWDD
Wuppertal,(NW),05124,40-Kreisfreie Stadt,DEBKGDL20000E6X8
Bonn,(NW),05314,40-Kreisfreie Stadt,DEBKGDL20000E68K
Köln,(NW),05315,40-Kreisfreie Stadt,DEBKGDL20000E005
Leverkusen,(NW),05316,40-Kreisfreie Stadt,DEBKGDL20000E1YY
Bottrop,(NW),05512,40-Kreisfreie Stadt,DEBKGDL20000E3DX
Gelsenkirchen,(NW),05513,40-Kreisfreie Stadt,DEBKGDL20000DWDA
Münster,(NW),05515,40-Kreisfreie Stadt,DEBKGDL20000E23Y
Bielefeld,(NW),05711,40-Kreisfreie Stadt,DEBKGDL20000E4DX
Bochum,(NW),05911,40-Kreisfreie Stadt,DEBKGDL20000E45Q
Dortmund,(NW),05913,40-Kreisfreie Stadt,DEBKGDL20000E44H
Hagen,(NW),05914,40-Kreisfreie Stadt,DEBKGDL20000E1OJ
Hamm,(NW),05915,40-Kreisfreie Stadt,DEBKGDL20000DYN9
