ars,ags,geo_name,did,district_name,state,admin_unit,debkg_id
010010000000,01001000,Flensburg,01001,Flensburg,SH,60-Stadt,DEBKGDL20000E5MA
010020000000,01002000,Kiel,01002,Kiel,SH,60-Stadt,DEBKGDL20000004J
010030000000,01003000,Lübeck,01003,Lübeck,SH,60-Stadt,DEBKGDL20000DYMA
010040000000,01004000,Neumünster,01004,Neumünster,SH,60-Stadt,DEBKGDL20000E4SA
010510011011,01051011,Brunsbüttel,01051,Dithmarschen,SH,61-Stadt,DEBKGDL20000E2IK
010510044044,01051044,Heide,01051,Dithmarschen,SH,61-Stadt,DEBKGDL20000E0M5
010515166072,01051072,Marne,01051,Dithmarschen,SH,63-Stadt,DEBKGDL20000DZX0
010515175074,01051074,Meldorf,01051,Dithmarschen,SH,63-Stadt,DEBKGDL20000E6ZV
010515178127,01051127,Wesselburen,01051,Dithmarschen,SH,63-Stadt,DEBKGDL20000E62E
010515163003,01051003,Averlak,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E6BB
010515163010,01051010,Brickeln,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E62A
010515163012,01051012,Buchholz,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E1TU
010515163016,01051016,Burg (Dithmarschen),01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E2BN
010515163022,01051022,Dingen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000DZOW
010515163024,01051024,Eddelak,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E26D
010515163026,01051026,Eggstedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E5RQ
010515163032,01051032,Frestedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E6BC
010515163037,01051037,Großenrade,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E2BO
010515163051,01051051,Hochdonn,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E6IC
010515163064,01051064,Kuden,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0TM
010515163089,01051089,Quickborn,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E2V0
010515163097,01051097,Sankt Michaelisdonn,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000DZOV
010515163110,01051110,Süderhastedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000DZG3
010515166021,01051021,Diekhusen-Fahrstedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000DZWZ
010515166034,01051034,Friedrichskoog,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000DZQC
010515166046,01051046,Helse,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E5IF
010515166057,01051057,Kaiser-Wilhelm-Koog,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000DZZV
010515166062,01051062,Kronprinzenkoog,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E61N
010515166073,01051073,Marnerdeich,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0WD
010515166076,01051076,Neufeld,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E6IB
010515166077,01051077,Neufelderkoog,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E60D
010515166090,01051090,Ramhusen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E26C
010515166103,01051103,Schmedeswurth,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E3HY
010515166118,01051118,Trennewurth,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E00J
010515166119,01051119,Volsemenhusen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E2DQ
010515169005,01051005,Barkenholm,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0GL
010515169008,01051008,Bergewöhrden,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E69E
010515169019,01051019,Dellstedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E5RJ
010515169020,01051020,Delve,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E1RD
010515169023,01051023,Dörpling,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E3H8
010515169030,01051030,Fedderingen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E1QZ
010515169035,01051035,Gaushorn,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E317
010515169036,01051036,Glüsing,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E1I8
010515169038,01051038,Groven,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0TP
010515169047,01051047,Hemme,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E41Q
010515169049,01051049,Hennstedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E2UU
010515169052,01051052,Hövede,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E31D
010515169053,01051053,Hollingstedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E1RC
010515169058,01051058,Karolinenkoog,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E41R
010515169060,01051060,Kleve,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E3YD
010515169061,01051061,Krempel,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E41T
010515169065,01051065,Lehe,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0TO
010515169068,01051068,Linden,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0HN
010515169071,01051071,Lunden,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E625
010515169080,01051080,Norderheistedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E6BD
010515169088,01051088,Pahlen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E3H7
010515169092,01051092,Rehm-Flehde-Bargen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E608
010515169096,01051096,Sankt Annen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E41U
010515169100,01051100,Schalkholz,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E3H9
010515169102,01051102,Schlichting,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E627
010515169114,01051114,Tellingstedt,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E31C
010515169117,01051117,Tielenhemme,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E0MG
010515169120,01051120,Wallen,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E1RE
010515169125,01051125,Welmbüttel,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E318
010515169131,01051131,Westerborstel,01051,Dithmarschen,SH,64-Gemeinde,DEBKGDL20000E6BF
